﻿ID,Area,Longitude,Latitude,error_info
5,三间房地区_110105034000,116.543962,39.910801,No_SV_ID
8,三间房地区_110105034000,116.544002,39.910379,No_SV_ID
11,三间房地区_110105034000,116.544207,39.909929,No_SV_ID
12,三间房地区_110105034000,116.543942,39.909528,No_SV_ID
15,三间房地区_110105034000,116.544071,39.910729,No_SV_ID
18,三间房地区_110105034000,116.544101,39.910425,No_SV_ID
19,三间房地区_110105034000,116.544101,39.910425,No_SV_ID
20,三间房地区_110105034000,116.544153,39.910355,No_SV_ID
21,三间房地区_110105034000,116.544153,39.910355,No_SV_ID
25,三间房地区_110105034000,116.544326,39.9098,No_SV_ID
60,三间房地区_110105034000,116.546552,39.915741,No_SV_ID
61,三间房地区_110105034000,116.546545,39.916191,No_SV_ID
87,三间房地区_110105034000,116.547679,39.907247,No_SV_ID
88,三间房地区_110105034000,116.548263,39.907282,No_SV_ID
120,三间房地区_110105034000,116.549516,39.919846,No_SV_ID
122,三间房地区_110105034000,116.548372,39.92188,No_SV_ID
128,三间房地区_110105034000,116.548512,39.906806,No_SV_ID
129,三间房地区_110105034000,116.548529,39.907256,No_SV_ID
130,三间房地区_110105034000,116.548512,39.906806,No_SV_ID
134,三间房地区_110105034000,116.548524,39.907298,No_SV_ID
147,三间房地区_110105034000,116.549264,39.922177,No_SV_ID
153,三间房地区_110105034000,116.549316,39.912895,No_SV_ID
159,三间房地区_110105034000,116.549264,39.922177,No_SV_ID
161,三间房地区_110105034000,116.549264,39.922177,No_SV_ID
165,三间房地区_110105034000,116.54954,39.920529,No_SV_ID
166,三间房地区_110105034000,116.549763,39.920112,No_SV_ID
167,三间房地区_110105034000,116.549494,39.913097,No_SV_ID
168,三间房地区_110105034000,116.550045,39.913236,No_SV_ID
169,三间房地区_110105034000,116.550627,39.913234,No_SV_ID
172,三间房地区_110105034000,116.54985,39.919949,No_SV_ID
177,三间房地区_110105034000,116.550078,39.919951,No_SV_ID
178,三间房地区_110105034000,116.550082,39.920401,No_SV_ID
179,三间房地区_110105034000,116.550195,39.919952,No_SV_ID
183,三间房地区_110105034000,116.550085,39.922024,No_SV_ID
186,三间房地区_110105034000,116.550195,39.919952,No_SV_ID
187,三间房地区_110105034000,116.550199,39.920403,No_SV_ID
188,三间房地区_110105034000,116.550195,39.919952,No_SV_ID
231,三间房地区_110105034000,116.550814,39.913192,No_SV_ID
232,三间房地区_110105034000,116.551303,39.912944,No_SV_ID
233,三间房地区_110105034000,116.550962,39.910024,No_SV_ID
234,三间房地区_110105034000,116.550911,39.910472,No_SV_ID
235,三间房地区_110105034000,116.55086,39.910921,No_SV_ID
236,三间房地区_110105034000,116.550854,39.911369,No_SV_ID
