ID,Area,Longitude,Latitude
0,千家店镇_110119107000,116.21254,40.740248
1,千家店镇_110119107000,116.211949,40.740229
2,千家店镇_110119107000,116.214684,40.738134
3,千家店镇_110119107000,116.214655,40.737684
4,千家店镇_110119107000,116.214625,40.737235
5,千家店镇_110119107000,116.214595,40.736785
6,千家店镇_110119107000,116.214566,40.736336
7,千家店镇_110119107000,116.214564,40.735887
8,千家店镇_110119107000,116.214728,40.735455
9,千家店镇_110119107000,116.214922,40.73503
10,千家店镇_110119107000,116.215352,40.734613
11,千家店镇_110119107000,116.215999,40.734501
12,千家店镇_110119107000,116.215422,40.734596
13,千家店镇_110119107000,116.220758,40.733414
14,千家店镇_110119107000,116.220167,40.733403
15,千家店镇_110119107000,116.219575,40.733391
16,千家店镇_110119107000,116.224093,40.730984
17,千家店镇_110119107000,116.223547,40.731148
18,千家店镇_110119107000,116.223031,40.731367
19,千家店镇_110119107000,116.222518,40.731591
20,千家店镇_110119107000,116.222025,40.731837
21,千家店镇_110119107000,116.2312,40.725387
22,千家店镇_110119107000,116.230827,40.725736
23,千家店镇_110119107000,116.23051,40.726115
24,千家店镇_110119107000,116.230213,40.726504
25,千家店镇_110119107000,116.229915,40.726893
26,千家店镇_110119107000,116.229618,40.727283
27,千家店镇_110119107000,116.229321,40.727672
28,千家店镇_110119107000,116.229023,40.728062
29,千家店镇_110119107000,116.228696,40.728437
30,千家店镇_110119107000,116.228334,40.728791
31,千家店镇_110119107000,116.22793,40.72912
32,千家店镇_110119107000,116.227481,40.729412
33,千家店镇_110119107000,116.226991,40.729664
34,千家店镇_110119107000,116.226474,40.729882
35,千家店镇_110119107000,116.225923,40.730044
36,千家店镇_110119107000,116.225365,40.730194
37,千家店镇_110119107000,116.227428,40.664098
38,千家店镇_110119107000,116.227709,40.66449
39,千家店镇_110119107000,116.22773,40.664511
40,千家店镇_110119107000,116.227878,40.665003
41,千家店镇_110119107000,116.227878,40.665003
42,千家店镇_110119107000,116.22792,40.665452
43,千家店镇_110119107000,116.228012,40.665893
44,千家店镇_110119107000,116.22823,40.666311
45,千家店镇_110119107000,116.228448,40.666729
46,千家店镇_110119107000,116.228667,40.667148
47,千家店镇_110119107000,116.228937,40.667546
48,千家店镇_110119107000,116.229249,40.667929
49,千家店镇_110119107000,116.229562,40.668311
50,千家店镇_110119107000,116.229874,40.668693
51,千家店镇_110119107000,116.230258,40.669025
52,千家店镇_110119107000,116.230769,40.66925
53,千家店镇_110119107000,116.231308,40.669435
54,千家店镇_110119107000,116.231862,40.669588
55,千家店镇_110119107000,116.232432,40.669705
56,千家店镇_110119107000,116.233017,40.669759
57,千家店镇_110119107000,116.229857,40.647312
58,千家店镇_110119107000,116.229985,40.647751
59,千家店镇_110119107000,116.230118,40.64819
60,千家店镇_110119107000,116.230269,40.648625
61,千家店镇_110119107000,116.229857,40.647312
62,千家店镇_110119107000,116.230371,40.64709
63,千家店镇_110119107000,116.230881,40.646889
64,千家店镇_110119107000,116.23035,40.648831
65,千家店镇_110119107000,116.230797,40.649125
66,千家店镇_110119107000,116.231344,40.64926
67,千家店镇_110119107000,116.231924,40.649346
68,千家店镇_110119107000,116.230537,40.666998
69,千家店镇_110119107000,116.230919,40.66734
70,千家店镇_110119107000,116.231364,40.667635
71,千家店镇_110119107000,116.2312,40.725387
72,千家店镇_110119107000,116.231639,40.725085
73,千家店镇_110119107000,116.232077,40.724782
74,千家店镇_110119107000,116.232516,40.72448
75,千家店镇_110119107000,116.232955,40.724178
76,千家店镇_110119107000,116.233393,40.723875
77,千家店镇_110119107000,116.233832,40.723573
78,千家店镇_110119107000,116.234231,40.723242
79,千家店镇_110119107000,116.234594,40.722887
80,千家店镇_110119107000,116.23493,40.722517
81,千家店镇_110119107000,116.235266,40.722146
82,千家店镇_110119107000,116.235565,40.721758
83,千家店镇_110119107000,116.232701,40.644424
84,千家店镇_110119107000,116.232706,40.644874
85,千家店镇_110119107000,116.232711,40.645324
86,千家店镇_110119107000,116.232701,40.644424
87,千家店镇_110119107000,116.233022,40.644046
88,千家店镇_110119107000,116.233072,40.643987
89,千家店镇_110119107000,116.233613,40.643807
90,千家店镇_110119107000,116.234168,40.643652
91,千家店镇_110119107000,116.233463,40.669783
92,千家店镇_110119107000,116.23401,40.669612
93,千家店镇_110119107000,116.23459,40.669524
94,千家店镇_110119107000,116.235172,40.669446
95,千家店镇_110119107000,116.235741,40.669368
96,千家店镇_110119107000,116.236229,40.669113
97,千家店镇_110119107000,116.236576,40.668771
98,千家店镇_110119107000,116.235813,40.667202
99,千家店镇_110119107000,116.236055,40.666791
100,千家店镇_110119107000,116.236328,40.666394
101,千家店镇_110119107000,116.236669,40.666026
102,千家店镇_110119107000,116.235645,40.72164
103,千家店镇_110119107000,116.235893,40.721231
104,千家店镇_110119107000,116.23614,40.720822
105,千家店镇_110119107000,116.236387,40.720413
106,千家店镇_110119107000,116.236635,40.720004
107,千家店镇_110119107000,116.236896,40.719606
108,千家店镇_110119107000,116.237153,40.667774
109,千家店镇_110119107000,116.236913,40.668185
110,千家店镇_110119107000,116.236918,40.665757
111,千家店镇_110119107000,116.237472,40.6656
112,千家店镇_110119107000,116.237993,40.665396
113,千家店镇_110119107000,116.238483,40.665144
114,千家店镇_110119107000,116.238565,40.656424
115,千家店镇_110119107000,116.237975,40.656456
116,千家店镇_110119107000,116.237386,40.65649
117,千家店镇_110119107000,116.237153,40.667774
118,千家店镇_110119107000,116.237575,40.667458
119,千家店镇_110119107000,116.237996,40.667141
120,千家店镇_110119107000,116.238409,40.66682
121,千家店镇_110119107000,116.238814,40.666492
122,千家店镇_110119107000,116.239218,40.666164
123,千家店镇_110119107000,116.239622,40.665836
124,千家店镇_110119107000,116.240027,40.665508
125,千家店镇_110119107000,116.240431,40.66518
126,千家店镇_110119107000,116.240836,40.664852
127,千家店镇_110119107000,116.238565,40.656424
128,千家店镇_110119107000,116.239098,40.656231
129,千家店镇_110119107000,116.238184,40.71602
130,千家店镇_110119107000,116.238356,40.71559
131,千家店镇_110119107000,116.238481,40.71515
132,千家店镇_110119107000,116.238638,40.714717
133,千家店镇_110119107000,116.238848,40.714296
