ID,Area,Longitude,Latitude
0,卢沟桥街道_110106017000,116.191147,39.859709
1,卢沟桥街道_110106017000,116.191731,39.859727
2,卢沟桥街道_110106017000,116.192316,39.859744
3,卢沟桥街道_110106017000,116.192898,39.859776
4,卢沟桥街道_110106017000,116.194084,39.863643
5,卢沟桥街道_110106017000,116.193567,39.863854
6,卢沟桥街道_110106017000,116.193047,39.864053
7,卢沟桥街道_110106017000,116.192495,39.8642
8,卢沟桥街道_110106017000,116.191937,39.864334
9,卢沟桥街道_110106017000,116.191387,39.864483
10,卢沟桥街道_110106017000,116.19322,39.859852
11,卢沟桥街道_110106017000,116.194922,39.860005
12,卢沟桥街道_110106017000,116.194347,39.859938
13,卢沟桥街道_110106017000,116.193763,39.859931
14,卢沟桥街道_110106017000,116.194121,39.863634
15,卢沟桥街道_110106017000,116.194121,39.863634
16,卢沟桥街道_110106017000,116.194574,39.863311
17,卢沟桥街道_110106017000,116.194574,39.863311
18,卢沟桥街道_110106017000,116.194945,39.862964
19,卢沟桥街道_110106017000,116.19508,39.860009
20,卢沟桥街道_110106017000,116.19508,39.860009
21,卢沟桥街道_110106017000,116.19565,39.860106
22,卢沟桥街道_110106017000,116.196214,39.860218
23,卢沟桥街道_110106017000,116.19519,39.862729
24,卢沟桥街道_110106017000,116.195283,39.862583
25,卢沟桥街道_110106017000,116.195283,39.862583
26,卢沟桥街道_110106017000,116.195515,39.86217
27,卢沟桥街道_110106017000,116.195757,39.86176
28,卢沟桥街道_110106017000,116.19587,39.861574
29,卢沟桥街道_110106017000,116.195879,39.861544
30,卢沟桥街道_110106017000,116.196134,39.861179
31,卢沟桥街道_110106017000,116.19629,39.860746
32,卢沟桥街道_110106017000,116.196238,39.860224
33,卢沟桥街道_110106017000,116.19629,39.860673
34,卢沟桥街道_110106017000,116.196906,39.85991
35,卢沟桥街道_110106017000,116.196407,39.860145
36,卢沟桥街道_110106017000,116.199186,39.860215
37,卢沟桥街道_110106017000,116.198604,39.860177
38,卢沟桥街道_110106017000,116.198021,39.860154
39,卢沟桥街道_110106017000,116.197443,39.860098
40,卢沟桥街道_110106017000,116.197121,39.859182
41,卢沟桥街道_110106017000,116.196952,39.859611
42,卢沟桥街道_110106017000,116.197121,39.859182
43,卢沟桥街道_110106017000,116.198482,39.856571
44,卢沟桥街道_110106017000,116.198258,39.856987
45,卢沟桥街道_110106017000,116.198033,39.857403
46,卢沟桥街道_110106017000,116.197809,39.857819
47,卢沟桥街道_110106017000,116.197585,39.858235
48,卢沟桥街道_110106017000,116.197371,39.858654
49,卢沟桥街道_110106017000,116.198482,39.856571
50,卢沟桥街道_110106017000,116.198877,39.856239
51,卢沟桥街道_110106017000,116.199649,39.858728
52,卢沟桥街道_110106017000,116.199072,39.858779
53,卢沟桥街道_110106017000,116.199066,39.856083
54,卢沟桥街道_110106017000,116.199613,39.856241
55,卢沟桥街道_110106017000,116.19918,39.855592
56,卢沟桥街道_110106017000,116.199064,39.85603
57,卢沟桥街道_110106017000,116.19918,39.855592
58,卢沟桥街道_110106017000,116.199446,39.855193
59,卢沟桥街道_110106017000,116.199666,39.854777
60,卢沟桥街道_110106017000,116.199186,39.860215
61,卢沟桥街道_110106017000,116.199292,39.859669
62,卢沟桥街道_110106017000,116.199205,39.860114
63,卢沟桥街道_110106017000,116.199529,39.860239
64,卢沟桥街道_110106017000,116.200095,39.860348
65,卢沟桥街道_110106017000,116.199529,39.860239
66,卢沟桥街道_110106017000,116.19962,39.859794
67,卢沟桥街道_110106017000,116.199698,39.859348
68,卢沟桥街道_110106017000,116.199807,39.858906
69,卢沟桥街道_110106017000,116.199649,39.858728
70,卢沟桥街道_110106017000,116.202864,39.855932
71,卢沟桥街道_110106017000,116.2023,39.85605
72,卢沟桥街道_110106017000,116.201722,39.856109
73,卢沟桥街道_110106017000,116.201141,39.856157
74,卢沟桥街道_110106017000,116.20056,39.856205
75,卢沟桥街道_110106017000,116.199979,39.856252
76,卢沟桥街道_110106017000,116.202,39.859061
77,卢沟桥街道_110106017000,116.201419,39.859082
